name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes

Nocardioides dubius,"['J475', '92']",2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047

Methanococcoides burtonii,"['141c', '189', '129']",259564,Methanococcoides burtonii DSM 6242,1,2575032,1049534,2627,2479

Thiocapsa pendens,"['J22', '90', '255', '960', '339a', 'J30', '92', '381', '28', '514', 'J493', '1131', '507', '104c', '830', '1305', '129', '785', '186', '1122', 'J454', 'J586', '104', '1', 'J25', '339', '125', '462', '535', 'J221', '39', '704', '429', '65', 'J677', '110', '220', '535b', 'J786', '1263', '693']",521689,Thiocapsa bogorovii,1,5649927,3613214,5051,4885

Serratia liquefaciens,"['J57', 'J61', '92', '553', '535', '554', '1', '83', '65', '693']",614,Serratia liquefaciens,3,5349947,2958750,5052,4896

Nocardia cavernae,['215'],1824,Nocardia asteroides,1,6983363,4879682,6476,6344

Erwinia papayae,['1'],1324864,[Pantoea] beijingensis,1,4107390,2060736,3723,3550

Stackebrandtia nassauensis,"['J51', '554', '65']",446470,Stackebrandtia nassauensis DSM 44728,1,6841557,4661422,6516,6418

Neisseria flavescens,"['215', '693']",484,Neisseria flavescens,1,2231882,1094689,2271,2101

Desulfobacula toluolica,['383'],651182,Desulfobacula toluolica Tol2,1,5197905,2154472,4568,4457

Rhodopirellula baltica,"['381', '600a', '92', '514a', '78', 'J900']",243090,Rhodopirellula baltica SH 1,1,7145576,3959492,5241,5124

Saccharomonospora glauca,"['426', 'J103', 'J104', 'J49', '581', '310', '65']",928724,Saccharomonospora glauca K62,2,4564108,3154521,4350,4245

Aerococcus viridans,"['J13', '693', '92']",1377,Aerococcus viridans,1,2199877,866216,2067,1906

Methanothrix thermoacetophila,"['J285', '334a']",349307,Methanothrix thermoacetophila PT,1,1879471,1006368,1824,1765

Herminiimonas aquatilis,['830c'],1809410,Herminiimonas arsenitoxidans,1,3784322,1940740,3576,3503

Vibrio gigantis,['514'],296199,Vibrio gigantis,3,5333684,2361916,4771,4531

Ignicoccus islandicus,['897'],940295,Ignicoccus islandicus DSM 13165,1,1394664,626210,1548,1494

Rhizobium sullae,['98'],50338,Rhizobium sullae,4,7595929,4546586,7510,7001

Terribacillus goriensis,['514'],386490,Terribacillus goriensis,2,3577082,1529598,3642,3536

Lysobacter enzymogenes,"['220', 'J19', 'J11', '67', '1543', 'J13', '58', '693']",69,Lysobacter enzymogenes,1,6096022,4228418,4921,4798

Sphingomonas parvus,"['621', '1', '830']",2759526,Sphingomonas aliaeris,3,4262007,2743796,4140,3832

Thermococcus nautili,"['760', 'J811']",195522,Thermococcus nautili,2,2116557,1146649,2429,2366

Rhodovulum sulfidophilum,"['1a', '830', '220', '925', '27', '960', 'J284', 'J118', '195c', '514', '429', '693']",35806,Rhodovulum sulfidophilum,2,4196493,2805283,4040,3866

Phocaeicola vulgatus,"['J14', 'J84', '339', '925', '220', 'J314', '1191', '1272', 'J296', 'J13', '104', '78', '1203a', '693']",821,Phocaeicola vulgatus,5,4977532,2102658,4157,3927

Lysobacter antibioticus,"['J84', 'J12', '92', '11', 'J87', '58', '225', 'J70', '104', '1', '215', 'J342', '226', 'J19', 'J28', 'J27', 'J675', '436', 'J13', '53', '67', 'J26', '693']",84531,Lysobacter antibioticus,1,5916388,3953384,4886,4782

Methanobacterium paludis,"['J924', '1094']",868131,Methanobacterium paludis,1,2546541,909924,2493,2431

Polystyrenella longa,['1560'],2528007,Polystyrenella longa,1,6125480,3082128,4505,4437

Gimesia panareensis,['1560'],2527978,Gimesia panareensis,1,7983903,4278055,6046,5963

Dermacoccus nishinomiyaensis,"['220', '830', '53', 'J26', '513']",1274,Dermacoccus nishinomiyaensis,2,3113642,2149812,2849,2748

Clostridium kluyveri,"['J22', '545', 'J30', 'J12', '11', '92', '830', '129', '186', 'J156', '438', 'J25', '1', '52', 'J28', '535', 'J13', 'J214', '429', 'J14', '110', '220', '372', '520', 'J112', '519', '693']",583346,Clostridium kluyveri NBRC 12016,2,3955303,1266261,3914,3741

Parvibaculum lavamentivorans,['884'],402881,Parvibaculum lavamentivorans DS-1,1,3914745,2439986,3731,3655

Clostridium sporogenes,"['J22', '90', '77', '189', '11', '915', '465c', '1203', '420', '191', '585', '129', '453', '104', '1203a', '1', '130', '188', '358', '119', '1523', '358a', '462', '190', 'J13', '457', '78', 'J14', '110', '220', 'J119', '162', '664', '310', '693']",1509,Clostridium sporogenes,2,4246123,1187624,3980,3794

Pseudochrobactrum lubricantis,['830'],2834768,Pseudochrobactrum algeriensis,5,4000992,2062971,3690,3563

Roseovarius antarcticus,['514'],2494550,Roseovarius faecimaris,2,3934770,2458937,3849,3787

Agromyces tropicus,"['J475', '92']",2781962,Agromyces archimandritae,1,3453307,2460710,3207,3103

Formosa agariphila,['514'],1347342,Formosa agariphila KMM 3901,1,4228350,1407075,3621,3541

Acinetobacter schindleri,"['1', '693']",108981,Acinetobacter schindleri,9,3337186,1418253,3227,3042

Stenotrophomonas rhizophila,"['J22', '220', '545', '1015', '535', '54', '1']",216778,Stenotrophomonas rhizophila,1,4648976,3127077,4105,4009

Prevotella dentalis,"['J14', '693']",908937,Prevotella dentalis DSM 3688,4,3350206,1871169,2656,2516

Sideroxyarcus emersonii,['1267'],2764705,Sideroxyarcus emersonii,1,2738141,1643801,2689,2629

Mycoplasmopsis meleagridis,['1076b'],29561,Mycoplasmopsis meleagridis,1,644173,168174,562,519

Exiguobacterium alkaliphilum,['92'],1428684,Exiguobacterium alkaliphilum,3,3029824,1596833,3123,2995

Erysipelothrix rhusiopathiae,"['92', '429', '693']",1648,Erysipelothrix rhusiopathiae,1,1770411,648600,1702,1608

Aeromonas dhakensis,"['535', '693', '92']",196024,Aeromonas dhakensis,3,4836960,2965973,4467,4336

Haloarcula hispanica,"['737', '92', '464', '549', '1536', '1159', 'J115', 'J52', '714', '215', 'J43', '535', '65', '372', '554', 'J168', 'J26', '693']",634497,Haloarcula hispanica ATCC 33960,3,3890005,2429489,3928,3825

Paraburkholderia metalliresistens,['830'],2571747,Paraburkholderia acidiphila,4,7804892,5020531,7064,6875

Pediococcus inopinatus,['11'],114090,Pediococcus inopinatus,3,2090142,808133,2050,1944

Gulosibacter molinativorax,"['J26', '92']",256821,Gulosibacter molinativorax,2,3502671,2249477,3259,3165

Gemmata obscuriglobus,['629'],214688,Gemmata obscuriglobus UQM 2246,1,9032617,6083625,7493,7293

Corynebacterium auriscanis,['J26'],99807,Corynebacterium auriscanis,1,2599172,1520238,2202,2094

Rhodanobacter caeni,"['J27', '535']",666685,Rhodanobacter denitrificans,2,4134749,2795932,3824,3725

Herbaspirillum seropedicae,"['428', '538', 'J75']",964,Herbaspirillum seropedicae,2,5392975,3404109,4818,4717

Polynucleobacter wuianus,"['1167', '830']",1743168,Polynucleobacter wuianus,1,2232205,1003211,2317,2248

Streptomyces cheonanensis,"['252', 'J66', 'J61', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Desulfolithobacter dissulfuricans,['383b'],2795293,Desulfolithobacter dissulfuricans,1,3596428,2046874,3225,3122

Paenisporosarcina macmurdoensis,['220'],417367,Paenisporosarcina antarctica,2,3972524,1468093,3811,3665

Chlamydia trachomatis,['1193'],272561,Chlamydia trachomatis D/UW-3/CX,1,1042519,430636,935,887

Sphingorhabdus planktonica,['1312'],392610,Sphingorhabdus lacus,1,3458743,1957655,3307,3243

Methanococcus maripaludis,"['J14', 'J228', '1509', 'J1057', '53', '288', '129', '92', '186', '141', '9', '412', '104', 'J13', 'J156', 'J265', '693']",39152,Methanococcus maripaludis,1,1714918,564525,1874,1821

Methanoculleus bourgensis,"['287', '645', '354', '119', '220', '1523', '613', '214', '129', '924b', '514']",1201294,Methanoculleus bourgensis MS2,1,2789774,1691720,2678,2609

Aminobacter niigataensis,"['186', 'J22', '1']",83265,Aminobacter niigataensis,4,5357197,3397892,5249,5139

Chloroflexus aurantiacus,"['J22', '90', '545', 'J30', '189', '219', '381', '393', '514', '31', '354', '830', '129', '453', '1', 'J25', 'J660', '1a', '190', '461', '535', '457', '380', '87', '461c', '429', '220', '461b', '162', '465', '67', '310', '693']",324602,Chloroflexus aurantiacus J-10-fl,1,5258541,2981443,4120,4031

Lentzea guizhouensis,"['65', 'J43']",1586287,Lentzea guizhouensis,1,9997872,6999071,9883,9517

Chenggangzhangella methanolivorans,['830'],1437009,Chenggangzhangella methanolivorans,1,5542510,3778576,5881,4966

Nocardia yamanashiensis,"['535', '65', 'J43']",209247,Nocardia yamanashiensis,1,8468804,5772277,7825,7661

Pirellula staleyi,['600'],530564,Pirellula staleyi DSM 6068,1,6196199,3560627,4596,4533

Cutibacterium acnes,"['693', '104']",1134454,Cutibacterium acnes HL096PA1,2,2549775,1533984,2520,2404

Streptococcus marmotae,['693'],1825069,Streptococcus marmotae,3,2322791,949258,2282,2101

Dickeya chrysanthemi,"['J22', '1a', 'J40', 'J26', '426', '425', 'J52', '92', '1']",561229,Dickeya chrysanthemi Ech1591,1,4813854,2624381,4301,4129

Streptococcus sanguinis,"['J70', 'J27', '92', '693']",1305,Streptococcus sanguinis,1,2449527,1052219,2400,2293

Phytohabitans suffuscus,"['553', 'J104', '535', '65']",624315,Phytohabitans suffuscus,1,10148719,7307401,9154,8367

Nocardiopsis rhodophaea,"['553', '1009', 'J118', '535']",2831968,Nocardiopsis akebiae,1,6602217,4780861,5697,5553

Kitasatospora putterlickiae,"['J66', 'J43', '535', '84', '65']",1894,Kitasatospora aureofaciens,2,7076402,5135317,6290,6025

Acidithiobacillus ferrivorans,"['882', 'J729', '1234']",160808,Acidithiobacillus ferrivorans,2,3456108,1951185,3571,3429

Aeromonas hydrophila,"['J22', 'J7', '92', '693']",644,Aeromonas hydrophila,1,4733702,2916556,4396,4203

Providencia stuartii,"['J22', 'J30', 'J12', '92', '220a', '514', '645', '830', 'J25', '1', '535', '120b', '65', 'J14', 'J1110', '535a', '110', 'J386', '693']",588,Providencia stuartii,6,4622190,1914224,4279,4092

Thermoplasma acidophilum,"['J917', '104c', 'J180', '63', '98', '158', '641', '1', 'J479', '514', '311c']",273075,Thermoplasma acidophilum DSM 1728,1,1564906,719857,1593,1537

Actinomadura apis,"['553', '535', 'J51', '65']",2750812,Actinomadura graeca,3,8979594,6498697,7926,7757

Celerinatantimonas diazotrophica,['514'],412034,Celerinatantimonas diazotrophica,1,4005136,1750442,3680,3502

Saccharolobus solfataricus,"['1417', '90', '182a', 'J172', '9', '402', '182', '514', 'J171']",2287,Saccharolobus solfataricus,1,2658139,952256,2935,2619

Mesorhizobium chacoense,['98'],1082933,Mesorhizobium amorphae CCNWGS0123,5,7343952,4617122,6961,6671

Bacteroides eggerthii,"['J14', '1713', '104', '1203a', '693']",28111,Bacteroides eggerthii,1,4228380,1883903,3478,3360

Mammaliicoccus sciuri,"['J22', 'J12', '92', '693']",1296,Mammaliicoccus sciuri,2,2853815,928374,2843,2744

Kushneria marisflavi,"['J118', '514']",157779,Kushneria marisflavi,1,3667185,2165375,3329,3227

Microbacterium oleivorans,"['J26', '830', '92']",273677,Microbacterium oleivorans,1,2996750,2066609,2931,2862

Nocardioides opuntiae,"['830', '65']",2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047

Rhizobium phaseoli,"['830c', '830', '98', 'J254', '1076b', '535', 'J23', '514']",396,Rhizobium phaseoli,5,6726041,4125782,6446,6192

Campylobacter mucosalis,"['78', '693']",202,Campylobacter mucosalis,1,1773478,648280,1858,1791

Corynebacterium striatum,"['535a', '220', '92', '535', '215b', 'J26', '693']",43770,Corynebacterium striatum,1,2904831,1723895,2728,2591

Methanocella conradii,['1318'],1041930,Methanocella conradii HZ254,1,2378438,1254393,2569,2502

Streptomyces seymenliensis,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Neisseria wadsworthii,"['215', '693']",607711,Neisseria wadsworthii,1,2501534,1218817,2413,2291

Halobacillus profundi,"['514', 'J464']",2932259,Halobacillus amylolyticus,2,4299351,1749880,4358,4101

Ligilactobacillus murinus,"['J84', '11', 'J13', '381']",1622,Ligilactobacillus murinus,1,2290452,913005,2291,2161

Deinococcus radiophilus,"['J74', '92']",32062,Deinococcus radiophilus,7,2827165,1766718,2840,2725

Aeromonas media,"['J22', '1a', '220', 'J12', '220a', '578']",651,Aeromonas media,2,4531033,2773015,4197,3965

Filobacterium rodentium,"['1076b', 'J996']",1218085,Citrobacter rodentium NBRC 105723 = DSM 16636,2,5381137,2939576,5161,4796

Paenibacillus agarexedens,"['960', 'J335', '92', '11', '104b', '514', '830', '1005', '104c', '104', '1', '586', '935a', 'J28', '535', '9', '9a', 'J324', '938', 'J14', '925', 'J436', '220', 'J330', '465', '67', '940', '693']",171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009

Microlunatus lacustris,"['J28', '621a', '92']",2596828,Microlunatus elymi,1,5121194,3423991,4724,4615

Kosakonia cowanii,"['J22', 'J27', '92', '535', '693']",208223,Kosakonia cowanii,2,4769584,2678048,4458,4295

Granulicella tundricola,['830'],1198114,Granulicella tundricola MP5ACTX9,6,5503984,3301098,4704,4608

Catenulispora subtropica,"['J51', '84', '65']",479433,Catenulispora acidiphila DSM 44928,1,10467782,7303066,9082,8974

Arcobacter nitrofigilis,"['115', 'J256', '693']",572480,Arcobacter nitrofigilis DSM 7299,1,3192235,905345,3195,3120

Lactobacillus acetotolerans,"['93', 'J123', 'J20', 'J21', '231', 'J111', '1047']",1600,Lactobacillus acetotolerans,1,1683905,614638,1662,1544

Azotobacter chroococcum,"['J84', 'J22', '90', '11', '92', '1636', '232', '904', '1203', '393', '1484', '191', '514', '442', 'J475', '830', 'J26', '1235', '1190', '514b', 'J346', '129', '444', '186', 'J75', '104', '641', '1', '3', '215', '513', '370', '119', 'J121', '693', 'J28', 'J1012', '535', '457', '78', 'J443', '312', 'J14', '110', '220', '110a', '455', 'J1020', '67', '1200', '119c', '378', '311', '386', '441']",353,Azotobacter chroococcum,4,5023055,3322014,4762,4513

Brochothrix thermosphacta,['53'],2756,Brochothrix thermosphacta,2,2578375,938169,2506,2362

Mesorhizobium onobrychidis,['1704'],2775404,Mesorhizobium onobrychidis,2,7548464,4670887,7365,6947

Sphingobacterium spiritivorum,"['J22', '1a', '119', '220', '1094', 'J924', '382', 'J346', 'J12', '92', 'J118', '67', '535', 'J530', '804', '1', '693']",258,Sphingobacterium spiritivorum,2,5138280,2047533,4358,4277

Ligilactobacillus salivarius,"['J14', 'J84', '339', 'J74', 'J148', 'J30', 'J33', '11', 'J118', 'J75', 'J198', 'J13', 'J25', 'J32']",1624,Ligilactobacillus salivarius,2,2033361,668890,2028,1886

Mycoplasma mycoides subsp. capri,['1076b'],436113,Mycoplasma mycoides subsp. capri str. GM12,1,1084586,259465,900,854

Desulfuromonas chloroethenica,['835'],891,Desulfuromonas acetoxidans,4,3838314,1985055,3444,3373

Bradyrhizobium elkanii,"['98', 'J254']",1275962,Bradyrhizobium elkanii USDA 61,2,9649995,6145621,9270,8880

Propionibacterium freudenreichii,"['91', '104']",1744,Propionibacterium freudenreichii,1,2507188,1690652,2218,2132

Schaalia radingae,['693'],131110,Schaalia radingae,1,2430293,1432078,2147,2070

Paenibacillus terrae,"['J75', '464']",985665,Paenibacillus terrae HPL-003,1,6083395,2845207,5518,5237

Arenimonas taoyuanensis,['535'],370777,Arenimonas daejeonensis,1,3032542,2071561,3135,2475

Pseudomonas citronellolis,"['J22', 'J443', '220a', '462', '92', '465i', '535', 'J156', '1']",53408,Pseudomonas citronellolis,1,6951444,4665300,6250,6095

Limosilactobacillus pontis,"['J292', '11', 'J13', '1203a', '638']",35787,Limosilactobacillus pontis,1,1714771,913742,1735,1589

Actinoplanes luteus,"['535', '65']",113562,Actinoplanes derwentensis,1,10654181,7389406,9589,9358

Flavobacterium branchiophilum,"['830', '1133']",1034807,Flavobacterium branchiophilum FL-15,2,3563292,1170837,3061,2982

Corynebacterium freneyi,"['J26', '535', '693']",134034,Corynebacterium freneyi,1,2881812,1984249,2564,2470

Megalodesulfovibrio paquesii,"['63', 'J602']",1121448,Megalodesulfovibrio gigas DSM 1382 = ATCC 19364,2,3796022,2404344,3404,3320

Frondihabitans peucedani,"['J26', '92']",1268041,Frondihabitans sucicola,2,4680421,3211323,4995,4416

Proteus mirabilis,"['J22', '220', 'J58', '252', 'J28', '426', 'J42', 'J12', '92', '553', '535', 'J49', '1', '84', '65', '693']",529507,Proteus mirabilis HI4320,2,4099895,1593869,3802,3633

Ralstonia solanacearum,"['1a', '830', 'J75', '231', '104', '1', '514']",305,Ralstonia solanacearum,2,5572607,3713246,4909,4755

Acinetobacter baylyi,"['830', '220', '535', '693']",62977,Acinetobacter baylyi ADP1,1,3598621,1454907,3351,3210

Flavisolibacter ginsenosidimutans,"['J346', '830']",661481,Flavisolibacter ginsenosidimutans,1,5079621,2357147,4369,4316

Actinomyces israelii,"['J14', '216', '693', '104', '1029']",1659,Actinomyces israelii,1,3980311,2845834,3304,3207

Rubrobacter indicoceani,"['514d', 'J1251']",2051957,Rubrobacter indicoceani,3,3078689,1963070,3081,3016

Hirschia baltica,"['607', '514']",582402,Hirschia baltica ATCC 49814,2,3540114,1599770,3238,3184

Methanogenium organophilum,"['373', '141']",2199,Methanogenium organophilum,1,2648164,1319845,2595,2519

Brevibacillus brevis,"['J22', '90', '545', 'J355', '141c', '328', '1015', '189', '92', '220a', 'J12', 'J1029', '276', '54', '1484', '470', '322', '514', 'J475', '830', 'J70', '514b', '1176', '453', '129', '186', '98', '598', 'J75', 'J254', '104', '81', '1', '339', '1a', '119', '240', '693', '1523', 'J28', 'J27', '331', '319', '535', '329', 'J604', '163', '78', 'J264', 'J443', '65', 'J74', '110', '220', '535b', '101', 'J118', '67', '21', '520', '1611', '320', 'J26', '321', '330']",1393,Brevibacillus brevis,1,6726998,3191075,6526,6272

Desulfogranum marinum,"['J14', 'J84', 'J22', '535a', '240', 'J70', '53', 'J302', 'J511', '92', '11', '195b', 'J13', '104', '58', 'J676', '693']",453220,Desulfogranum marinum,5,5464443,2521230,4670,4561

Staphylococcus equorum,"['53', '693', '92']",246432,Staphylococcus equorum,2,2772325,917124,2678,2565

Rhodococcus aetherivorans,"['535', '65', 'J43']",191292,Rhodococcus aetherivorans,3,6558029,4595790,5958,5805

Haemophilus aegyptius,['804'],197575,Haemophilus aegyptius,1,1993258,763003,2045,1880

Streptomyces cyaneofuscatus,"['J50', 'J436', '252', 'J66', '987', '942', '67', '9', '84', '65', 'J58']",66883,Streptomyces cyaneofuscatus,1,8117999,5805726,7185,6966

Thermoproteus tenax,"['J196', '185']",768679,Thermoproteus tenax Kra 1,1,1841542,1015210,2125,2054

Blautia obeum,"['J1130', '1611', '104']",411459,Blautia obeum ATCC 29174,1,3649956,1519304,3503,3360

Actinomyces qiguomingii,"['693', '104']",2057800,Actinomyces qiguomingii,1,3988549,2665280,3347,3231

Pseudomonas chlororaphis,"['1', 'J12', '907']",587753,Pseudomonas chlororaphis,1,6827675,4305746,6118,5985

Micromonospora zhanjiangensis,"['J61', '553', '554', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Hypericibacter terrae,['830'],2602015,Hypericibacter terrae,1,5894118,3891256,5411,5322

Aerococcus urinaeequi,"['J17', '92']",51665,Aerococcus urinaeequi,1,2054328,809977,1926,1827

Liquorilactobacillus nagelii,['11'],1122150,Liquorilactobacillus nagelii DSM 13675,2,2563476,944118,2566,2418

Methanoculleus palmolei,['1523'],1201294,Methanoculleus bourgensis MS2,1,2789774,1691720,2678,2609

Desulfosarcina alkanivorans,"['195c', 'J391']",571177,Desulfosarcina alkanivorans,1,7324708,4147834,6407,6295

Pseudoalteromonas hodoensis,['514'],176102,Pseudoalteromonas agarivorans,3,4557927,1862563,4095,3921

Baekduia soli,"['1365a', '1492']",496014,Baekduia soli,1,5212251,3856179,5228,5111

Pseudomonas hydrolytica,"['1', '535', '545']",2493633,Pseudomonas hydrolytica,2,5497959,3540353,5192,5062

Kosakonia radicincitans,"['1', '220']",283686,Kosakonia radicincitans,2,5774740,3115535,5486,5274

Streptomyces chlorus,"['J50', '252', 'J66', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Fodinibacter luteus,"['J913', '514d']",1270,Micrococcus luteus,2,2543764,1855277,2351,2259

Pigmentiphaga aceris,"['1', '535']",1940612,Pigmentiphaga aceris,1,6165255,3787513,5363,5251

Desulfosarcina ovata subsp. sediminis,['383'],885957,Desulfosarcina ovata subsp. sediminis,3,8413530,4515515,7345,7214

Celeribacter marinus,['514'],1397108,Celeribacter marinus,1,3096705,1741601,3098,3013

Helicobacter hepaticus,['693'],235279,Helicobacter hepaticus ATCC 51449,1,1799146,646456,1850,1799

Thermobifida alba,"['214', 'J219', '535', 'J217', '84', '65']",53522,Thermobifida alba,1,4903256,3534926,4358,4244

Flavobacterium nitrogenifigens,['545'],1617283,Flavobacterium nitrogenifigens,1,5497186,1881160,4645,4534

Paraclostridium bifermentans,"['90', '189', '104b', '232', '1203', '381', '191', '31', '129', '104', '1203a', '188', '1', '120', '190', '457', 'J13', '78', 'J14', '110', 'J181', '310', '693']",1490,Paraclostridium bifermentans,5,3566216,1019064,3530,3365

Streptomyces gamaensis,"['252', '987', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Rothia nasimurium,"['J28', '693', '92']",85336,Rothia nasimurium,3,2526221,1496638,2298,2209

Leucobacter allii,['92'],2932247,Leucobacter allii,1,3562128,2559436,3333,3227

Fructilactobacillus lindneri,"['J291', '231']",53444,Fructilactobacillus lindneri,1,1389742,475973,1411,1300

Picrophilus oshimae,"['88', 'J233']",1122961,Picrophilus oshimae DSM 9789,1,1545895,556065,1632,1574

Legionella lansingensis,['585'],45067,Legionella lansingensis,1,2989256,1216516,2719,2641

Acetobacter pasteurianus,"['J598', '195a', '92', 'J97', 'J710', 'J70', 'J709', '105', '1', '371', 'J27', 'J597', '254', '535', '360', '220', '53', '693']",438,Acetobacter pasteurianus,3,3403928,1767925,3153,3031

Miltoncostaea marina,"['513', '830']",2843215,Miltoncostaea marina,1,3370274,2566935,3409,3334

Micromonospora coerulea,"['J50', '214', 'J104', '554', '215b', '84', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249

Oceanobacillus chironomi,['514'],221109,Oceanobacillus iheyensis HTE831,1,3630528,1295420,3622,3489

Deinococcus proteolyticus,"['53', 'J22']",693977,Deinococcus proteolyticus MRP,5,2886836,1894892,2790,2688

Streptomyces monticola,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717

Capnocytophaga leadbetteri,['693'],327575,Capnocytophaga leadbetteri,1,2504023,1006833,2245,2162

Clavibacter sepedonicus,"['830', '1484', 'J28', '583', '92', '514f', 'J118', '514', '535', 'J49', 'J26', '550', '513']",31964,Clavibacter sepedonicus,3,3403786,2463573,3304,3182

Sphingobacterium rhinocerotis,['545'],662858,Sphingobacterium bambusae,1,5561552,2470783,4623,4526

Nautilia abyssi,"['J695', '829']",598659,Nautilia profundicola AmH,1,1676444,561735,1794,1728

Erythrobacter litoralis,['767'],39960,Erythrobacter litoralis,1,3251353,2119507,3151,3065

Streptomyces microflavus,"['J81', 'J50', '252', 'J42', '84', '65', 'J58']",1919,Streptomyces microflavus,3,8452583,6026228,7492,7215

Finegoldia magna,"['J14', 'J84', '104', '693']",334413,Finegoldia magna ATCC 29328,2,1986740,637078,1908,1826

Citrobacter freundii,"['J22', '220', 'J27', 'J12', '92', 'J75', '535', '381', '1', '693']",546,Citrobacter freundii,3,5171093,2674321,5033,4842

Coprothermobacter proteolyticus,"['678', '9', '481']",309798,Coprothermobacter proteolyticus DSM 5265,1,1424912,637935,1471,1411

Azospira oryzae,"['908', '830', '465']",640081,Azospira oryzae PS,1,3806980,2488533,3581,3505

Odoribacter splanchnicus,"['J14', '110', '78', '693']",709991,Odoribacter splanchnicus DSM 20712,1,4393364,1904808,3714,3547

Corynebacterium sundsvallense,"['J256', '693']",38284,Corynebacterium accolens,1,2465625,1468516,2326,2212

Rhodococcus rhodochrous,"['J22', '189', '92', '187', '830', '377', '119', '1523', '426', 'J43', '535', '457', '65', 'J57', '220', 'J151', 'J26', '310']",1829,Rhodococcus rhodochrous,3,5612657,3821413,5171,5030

Pseudomonas cannabina,['1015'],757414,Pseudomonas cannabina pv. alisalensis,2,6144893,3609338,5519,5245

Oceanisphaera sediminis,"['J118', '514']",1903694,Oceanisphaera avium,1,2902896,1365899,2705,2546

Nocardia otitidiscaviarum,"['J57', '426', '92', '553', 'J43', '535', '251', '82', 'J26', '65', '693']",1823,Nocardia otitidiscaviarum,1,7687583,5308663,6944,6777

Streptomyces leeuwenhoekii,['65'],1437453,Streptomyces leeuwenhoekii,3,8122491,5903171,7093,6781

Fervidobacterium changbaicum,"['740', 'J500']",310769,Fervidobacterium changbaicum,1,2266449,922804,2115,2043

Friedmanniella luteola,"['1484', '830', '464']",546871,Friedmanniella luteola,1,4717614,3477919,4404,4320

Pandoraea fibrosis,"['535', '693', '92']",1891094,Pandoraea fibrosis,1,5592065,3512667,4942,4817

Moraxella osloensis,"['830', '92', 'J256', '215', '693']",34062,Moraxella osloensis,5,2649137,1153464,2375,2256

Nonomuraea roseola,"['J51', '84', '65']",1122611,Nonomuraea coxensis DSM 45129,1,9073954,6548501,8551,8372

Paenibacillus tylopili,['220'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009

Saccharolobus shibatae,"['88', 'J172']",523848,Saccharolobus shibatae B12,2,2916875,1031478,3159,2968

Parafannyhessea sp.,['104'],604330,Parafannyhessea umbonata,1,2353193,1528285,2128,2046

Bacteroides ovatus,"['J14', 'J84', 'J475', 'J569', '830', 'J28', '92', 'J118', '514a', 'J13', '104', '78', '1203a', '514', '693']",28116,Bacteroides ovatus,1,6472489,2710596,4916,4761

Neisseria zalophi,"['215', '693']",640030,Neisseria zalophi,1,2423693,1080039,2279,2177

Helicobacter mastomyrinus,['693'],382638,Helicobacter acinonychis str. Sheeba,2,1557588,594516,1536,1377

Fructilactobacillus vespulae,['11b'],2940297,Fructilactobacillus carniphilus,1,1491353,663437,1489,1400

Paenibacillus swuensis,"['J74', '1', 'J346']",1178515,Paenibacillus swuensis,1,5012599,2452658,4559,4410

Pantoea deleyi,['1'],470932,Pantoea deleyi,4,4682225,2703035,4362,4205

Xanthomonas theicola,"['830c', '1a']",56464,Xanthomonas theicola,2,4785596,3262469,4558,3897

Rhizorhabdus dicambivorans,['830'],1850238,Rhizorhabdus dicambivorans,5,5541299,3621168,5309,5160

Burkholderia lata,['830'],482957,Burkholderia lata,3,8676277,5749981,7867,7703

Xenorhabdus hominickii,['535'],351679,Xenorhabdus hominickii,1,4522699,1964060,4241,3928

Actinomyces gaoshouyii,"['1029', '693']",1960083,Actinomyces gaoshouyii,1,2359360,1677088,2018,1923

Hafnia paralvei,"['1a', '693', '92']",546367,Hafnia paralvei,3,4945534,2377159,4546,4371

Treponema pedis,"['1494', '1245']",1291379,Treponema pedis str. T A4,1,2889325,1066119,2651,2557

Geodermatophilus arenarius,"['830', 'J43', '535', '65']",526225,Geodermatophilus obscurus DSM 43160,1,5322497,3937802,5128,4967

