,name,cultures,taxid,sci_name,chromosome_numbers,genome_size,genome_gc_content,gene_counts,protein_coding_genes
679,Ligilactobacillus salivarius,"['J14', 'J84', '339', 'J74', 'J148', 'J30', 'J33', '11', 'J118', 'J75', 'J198', 'J13', 'J25', 'J32']",1624,Ligilactobacillus salivarius,2,2033361,668890,2028,1886
680,Mycoplasma mycoides subsp. capri,['1076b'],436113,Mycoplasma mycoides subsp. capri str. GM12,1,1084586,259465,900,854
681,Desulfuromonas chloroethenica,['835'],891,Desulfuromonas acetoxidans,4,3838314,1985055,3444,3373
682,Bradyrhizobium elkanii,"['98', 'J254']",1275962,Bradyrhizobium elkanii USDA 61,2,9649995,6145621,9270,8880
683,Propionibacterium freudenreichii,"['91', '104']",1744,Propionibacterium freudenreichii,1,2507188,1690652,2218,2132
684,Schaalia radingae,['693'],131110,Schaalia radingae,1,2430293,1432078,2147,2070
685,Paenibacillus terrae,"['J75', '464']",985665,Paenibacillus terrae HPL-003,1,6083395,2845207,5518,5237
686,Arenimonas taoyuanensis,['535'],370777,Arenimonas daejeonensis,1,3032542,2071561,3135,2475
687,Pseudomonas citronellolis,"['J22', 'J443', '220a', '462', '92', '465i', '535', 'J156', '1']",53408,Pseudomonas citronellolis,1,6951444,4665300,6250,6095
688,Limosilactobacillus pontis,"['J292', '11', 'J13', '1203a', '638']",35787,Limosilactobacillus pontis,1,1714771,913742,1735,1589
689,Actinoplanes luteus,"['535', '65']",113562,Actinoplanes derwentensis,1,10654181,7389406,9589,9358
690,Flavobacterium branchiophilum,"['830', '1133']",1034807,Flavobacterium branchiophilum FL-15,2,3563292,1170837,3061,2982
691,Corynebacterium freneyi,"['J26', '535', '693']",134034,Corynebacterium freneyi,1,2881812,1984249,2564,2470
692,Megalodesulfovibrio paquesii,"['63', 'J602']",1121448,Megalodesulfovibrio gigas DSM 1382 = ATCC 19364,2,3796022,2404344,3404,3320
693,Frondihabitans peucedani,"['J26', '92']",1268041,Frondihabitans sucicola,2,4680421,3211323,4995,4416
694,Proteus mirabilis,"['J22', '220', 'J58', '252', 'J28', '426', 'J42', 'J12', '92', '553', '535', 'J49', '1', '84', '65', '693']",529507,Proteus mirabilis HI4320,2,4099895,1593869,3802,3633
695,Ralstonia solanacearum,"['1a', '830', 'J75', '231', '104', '1', '514']",305,Ralstonia solanacearum,2,5572607,3713246,4909,4755
696,Acinetobacter baylyi,"['830', '220', '535', '693']",62977,Acinetobacter baylyi ADP1,1,3598621,1454907,3351,3210
697,Flavisolibacter ginsenosidimutans,"['J346', '830']",661481,Flavisolibacter ginsenosidimutans,1,5079621,2357147,4369,4316
698,Actinomyces israelii,"['J14', '216', '693', '104', '1029']",1659,Actinomyces israelii,1,3980311,2845834,3304,3207
699,Rubrobacter indicoceani,"['514d', 'J1251']",2051957,Rubrobacter indicoceani,3,3078689,1963070,3081,3016
700,Hirschia baltica,"['607', '514']",582402,Hirschia baltica ATCC 49814,2,3540114,1599770,3238,3184
701,Methanogenium organophilum,"['373', '141']",2199,Methanogenium organophilum,1,2648164,1319845,2595,2519
702,Brevibacillus brevis,"['J22', '90', '545', 'J355', '141c', '328', '1015', '189', '92', '220a', 'J12', 'J1029', '276', '54', '1484', '470', '322', '514', 'J475', '830', 'J70', '514b', '1176', '453', '129', '186', '98', '598', 'J75', 'J254', '104', '81', '1', '339', '1a', '119', '240', '693', '1523', 'J28', 'J27', '331', '319', '535', '329', 'J604', '163', '78', 'J264', 'J443', '65', 'J74', '110', '220', '535b', '101', 'J118', '67', '21', '520', '1611', '320', 'J26', '321', '330']",1393,Brevibacillus brevis,1,6726998,3191075,6526,6272
703,Desulfogranum marinum,"['J14', 'J84', 'J22', '535a', '240', 'J70', '53', 'J302', 'J511', '92', '11', '195b', 'J13', '104', '58', 'J676', '693']",453220,Desulfogranum marinum,5,5464443,2521230,4670,4561
704,Staphylococcus equorum,"['53', '693', '92']",246432,Staphylococcus equorum,2,2772325,917124,2678,2565
705,Rhodococcus aetherivorans,"['535', '65', 'J43']",191292,Rhodococcus aetherivorans,3,6558029,4595790,5958,5805
706,Haemophilus aegyptius,['804'],197575,Haemophilus aegyptius,1,1993258,763003,2045,1880
707,Streptomyces cyaneofuscatus,"['J50', 'J436', '252', 'J66', '987', '942', '67', '9', '84', '65', 'J58']",66883,Streptomyces cyaneofuscatus,1,8117999,5805726,7185,6966
708,Thermoproteus tenax,"['J196', '185']",768679,Thermoproteus tenax Kra 1,1,1841542,1015210,2125,2054
709,Blautia obeum,"['J1130', '1611', '104']",411459,Blautia obeum ATCC 29174,1,3649956,1519304,3503,3360
710,Actinomyces qiguomingii,"['693', '104']",2057800,Actinomyces qiguomingii,1,3988549,2665280,3347,3231
711,Pseudomonas chlororaphis,"['1', 'J12', '907']",587753,Pseudomonas chlororaphis,1,6827675,4305746,6118,5985
712,Micromonospora zhanjiangensis,"['J61', '553', '554', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249
713,Hypericibacter terrae,['830'],2602015,Hypericibacter terrae,1,5894118,3891256,5411,5322
714,Aerococcus urinaeequi,"['J17', '92']",51665,Aerococcus urinaeequi,1,2054328,809977,1926,1827
715,Liquorilactobacillus nagelii,['11'],1122150,Liquorilactobacillus nagelii DSM 13675,2,2563476,944118,2566,2418
716,Methanoculleus palmolei,['1523'],1201294,Methanoculleus bourgensis MS2,1,2789774,1691720,2678,2609
717,Desulfosarcina alkanivorans,"['195c', 'J391']",571177,Desulfosarcina alkanivorans,1,7324708,4147834,6407,6295
718,Pseudoalteromonas hodoensis,['514'],176102,Pseudoalteromonas agarivorans,3,4557927,1862563,4095,3921
719,Baekduia soli,"['1365a', '1492']",496014,Baekduia soli,1,5212251,3856179,5228,5111
720,Pseudomonas hydrolytica,"['1', '535', '545']",2493633,Pseudomonas hydrolytica,2,5497959,3540353,5192,5062
721,Kosakonia radicincitans,"['1', '220']",283686,Kosakonia radicincitans,2,5774740,3115535,5486,5274
722,Streptomyces chlorus,"['J50', '252', 'J66', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
723,Fodinibacter luteus,"['J913', '514d']",1270,Micrococcus luteus,2,2543764,1855277,2351,2259
724,Pigmentiphaga aceris,"['1', '535']",1940612,Pigmentiphaga aceris,1,6165255,3787513,5363,5251
725,Desulfosarcina ovata subsp. sediminis,['383'],885957,Desulfosarcina ovata subsp. sediminis,3,8413530,4515515,7345,7214
726,Celeribacter marinus,['514'],1397108,Celeribacter marinus,1,3096705,1741601,3098,3013
727,Helicobacter hepaticus,['693'],235279,Helicobacter hepaticus ATCC 51449,1,1799146,646456,1850,1799
728,Thermobifida alba,"['214', 'J219', '535', 'J217', '84', '65']",53522,Thermobifida alba,1,4903256,3534926,4358,4244
729,Flavobacterium nitrogenifigens,['545'],1617283,Flavobacterium nitrogenifigens,1,5497186,1881160,4645,4534
730,Paraclostridium bifermentans,"['90', '189', '104b', '232', '1203', '381', '191', '31', '129', '104', '1203a', '188', '1', '120', '190', '457', 'J13', '78', 'J14', '110', 'J181', '310', '693']",1490,Paraclostridium bifermentans,5,3566216,1019064,3530,3365
731,Streptomyces gamaensis,"['252', '987', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
732,Rothia nasimurium,"['J28', '693', '92']",85336,Rothia nasimurium,3,2526221,1496638,2298,2209
733,Leucobacter allii,['92'],2932247,Leucobacter allii,1,3562128,2559436,3333,3227
734,Fructilactobacillus lindneri,"['J291', '231']",53444,Fructilactobacillus lindneri,1,1389742,475973,1411,1300
735,Picrophilus oshimae,"['88', 'J233']",1122961,Picrophilus oshimae DSM 9789,1,1545895,556065,1632,1574
736,Legionella lansingensis,['585'],45067,Legionella lansingensis,1,2989256,1216516,2719,2641
737,Acetobacter pasteurianus,"['J598', '195a', '92', 'J97', 'J710', 'J70', 'J709', '105', '1', '371', 'J27', 'J597', '254', '535', '360', '220', '53', '693']",438,Acetobacter pasteurianus,3,3403928,1767925,3153,3031
738,Miltoncostaea marina,"['513', '830']",2843215,Miltoncostaea marina,1,3370274,2566935,3409,3334
739,Micromonospora coerulea,"['J50', '214', 'J104', '554', '215b', '84', '65']",644283,Micromonospora aurantiaca ATCC 27029,1,7025559,5116162,6375,6249
740,Oceanobacillus chironomi,['514'],221109,Oceanobacillus iheyensis HTE831,1,3630528,1295420,3622,3489
741,Deinococcus proteolyticus,"['53', 'J22']",693977,Deinococcus proteolyticus MRP,5,2886836,1894892,2790,2688
742,Streptomyces monticola,"['84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
743,Capnocytophaga leadbetteri,['693'],327575,Capnocytophaga leadbetteri,1,2504023,1006833,2245,2162
744,Clavibacter sepedonicus,"['830', '1484', 'J28', '583', '92', '514f', 'J118', '514', '535', 'J49', 'J26', '550', '513']",31964,Clavibacter sepedonicus,3,3403786,2463573,3304,3182
745,Sphingobacterium rhinocerotis,['545'],662858,Sphingobacterium bambusae,1,5561552,2470783,4623,4526
746,Nautilia abyssi,"['J695', '829']",598659,Nautilia profundicola AmH,1,1676444,561735,1794,1728
747,Erythrobacter litoralis,['767'],39960,Erythrobacter litoralis,1,3251353,2119507,3151,3065
748,Streptomyces microflavus,"['J81', 'J50', '252', 'J42', '84', '65', 'J58']",1919,Streptomyces microflavus,3,8452583,6026228,7492,7215
749,Finegoldia magna,"['J14', 'J84', '104', '693']",334413,Finegoldia magna ATCC 29328,2,1986740,637078,1908,1826
750,Citrobacter freundii,"['J22', '220', 'J27', 'J12', '92', 'J75', '535', '381', '1', '693']",546,Citrobacter freundii,3,5171093,2674321,5033,4842
751,Coprothermobacter proteolyticus,"['678', '9', '481']",309798,Coprothermobacter proteolyticus DSM 5265,1,1424912,637935,1471,1411
752,Azospira oryzae,"['908', '830', '465']",640081,Azospira oryzae PS,1,3806980,2488533,3581,3505
753,Odoribacter splanchnicus,"['J14', '110', '78', '693']",709991,Odoribacter splanchnicus DSM 20712,1,4393364,1904808,3714,3547
754,Corynebacterium sundsvallense,"['J256', '693']",38284,Corynebacterium accolens,1,2465625,1468516,2326,2212
755,Rhodococcus rhodochrous,"['J22', '189', '92', '187', '830', '377', '119', '1523', '426', 'J43', '535', '457', '65', 'J57', '220', 'J151', 'J26', '310']",1829,Rhodococcus rhodochrous,3,5612657,3821413,5171,5030
756,Pseudomonas cannabina,['1015'],757414,Pseudomonas cannabina pv. alisalensis,2,6144893,3609338,5519,5245
757,Oceanisphaera sediminis,"['J118', '514']",1903694,Oceanisphaera avium,1,2902896,1365899,2705,2546
758,Nocardia otitidiscaviarum,"['J57', '426', '92', '553', 'J43', '535', '251', '82', 'J26', '65', '693']",1823,Nocardia otitidiscaviarum,1,7687583,5308663,6944,6777
759,Streptomyces leeuwenhoekii,['65'],1437453,Streptomyces leeuwenhoekii,3,8122491,5903171,7093,6781
760,Fervidobacterium changbaicum,"['740', 'J500']",310769,Fervidobacterium changbaicum,1,2266449,922804,2115,2043
761,Friedmanniella luteola,"['1484', '830', '464']",546871,Friedmanniella luteola,1,4717614,3477919,4404,4320
762,Pandoraea fibrosis,"['535', '693', '92']",1891094,Pandoraea fibrosis,1,5592065,3512667,4942,4817
763,Moraxella osloensis,"['830', '92', 'J256', '215', '693']",34062,Moraxella osloensis,5,2649137,1153464,2375,2256
764,Nonomuraea roseola,"['J51', '84', '65']",1122611,Nonomuraea coxensis DSM 45129,1,9073954,6548501,8551,8372
765,Paenibacillus tylopili,['220'],171404,Paenibacillus agaridevorans,1,9041977,4657555,7196,7009
766,Saccharolobus shibatae,"['88', 'J172']",523848,Saccharolobus shibatae B12,2,2916875,1031478,3159,2968
767,Parafannyhessea sp.,['104'],604330,Parafannyhessea umbonata,1,2353193,1528285,2128,2046
768,Bacteroides ovatus,"['J14', 'J84', 'J475', 'J569', '830', 'J28', '92', 'J118', '514a', 'J13', '104', '78', '1203a', '514', '693']",28116,Bacteroides ovatus,1,6472489,2710596,4916,4761
769,Neisseria zalophi,"['215', '693']",640030,Neisseria zalophi,1,2423693,1080039,2279,2177
770,Helicobacter mastomyrinus,['693'],382638,Helicobacter acinonychis str. Sheeba,2,1557588,594516,1536,1377
771,Fructilactobacillus vespulae,['11b'],2940297,Fructilactobacillus carniphilus,1,1491353,663437,1489,1400
772,Paenibacillus swuensis,"['J74', '1', 'J346']",1178515,Paenibacillus swuensis,1,5012599,2452658,4559,4410
773,Pantoea deleyi,['1'],470932,Pantoea deleyi,4,4682225,2703035,4362,4205
774,Xanthomonas theicola,"['830c', '1a']",56464,Xanthomonas theicola,2,4785596,3262469,4558,3897
775,Rhizorhabdus dicambivorans,['830'],1850238,Rhizorhabdus dicambivorans,5,5541299,3621168,5309,5160
776,Burkholderia lata,['830'],482957,Burkholderia lata,3,8676277,5749981,7867,7703
777,Xenorhabdus hominickii,['535'],351679,Xenorhabdus hominickii,1,4522699,1964060,4241,3928
778,Actinomyces gaoshouyii,"['1029', '693']",1960083,Actinomyces gaoshouyii,1,2359360,1677088,2018,1923
779,Hafnia paralvei,"['1a', '693', '92']",546367,Hafnia paralvei,3,4945534,2377159,4546,4371
780,Treponema pedis,"['1494', '1245']",1291379,Treponema pedis str. T A4,1,2889325,1066119,2651,2557
781,Geodermatophilus arenarius,"['830', 'J43', '535', '65']",526225,Geodermatophilus obscurus DSM 43160,1,5322497,3937802,5128,4967
782,Tetragenococcus koreensis,['92'],290335,Tetragenococcus koreensis,2,2732026,1008594,2640,2478
783,Brevundimonas vesicularis,"['J22', '617a', 'J12', '381', '1']",41276,Brevundimonas vesicularis,1,3345527,2210318,3432,3350
784,Xanthomonas vasicola,"['1015', '693', '92']",1094184,Xanthomonas vasicola pv. musacearum NCPPB 4379,2,4837576,3069236,4279,3787
785,Pseudomonas mendocina,"['J22', '1', 'J12']",1225174,Pseudomonas mendocina S5.2,2,5372474,3351319,5103,4977
786,Pseudomonas lundensis,"['1', '535', '189']",86185,Pseudomonas lundensis,2,4934136,2891695,4584,4410
787,Clavibacter nebraskensis,"['53', '92']",31963,Clavibacter nebraskensis,2,3142110,2288949,3022,2942
788,Stenotrophomonas pavanii,['1'],487698,Stenotrophomonas pavanii,1,4615174,3095842,4254,4127
789,Ferroglobus placidus,"['535', '730', '215', '65', '693']",589924,Ferroglobus placidus DSM 10642,1,2196266,969331,2616,2553
790,Mammaliicoccus lentus,"['J12', '693', '92']",42858,Mammaliicoccus lentus,1,2802382,824304,2586,2478
791,Methylotenera versatilis,"['1355', 'J884']",666681,Methylotenera versatilis 301,1,3059871,1304580,2840,2767
792,Streptomyces anulatus,"['J81', 'J50', '248', '252', 'J66', 'J42', '84', '65']",1892,Streptomyces anulatus,2,8690773,6224821,7552,7332
793,Anaerostipes hadrus,"['110', '1611', 'J1130', '1203', 'J465']",649756,Anaerostipes hadrus,1,3114788,1129932,3096,2978
794,Streptomyces tanashiensis,"['643', '31', '585', 'J70', 'J50', '84', 'J66', 'J42', '987', '220a', '92', 'J75', 'J256', '1', '605', '65', '693']",67367,Streptomyces tanashiensis,1,8694918,6279615,7893,7610
795,Succinivibrio dextrinosolvens,"['220', '104c', '1611', '330']",83771,Succinivibrio dextrinosolvens,2,2849946,1113959,2476,2374
796,Providencia heimbachae,['1'],333962,Providencia heimbachae,1,4286000,1730440,3901,3761
797,Novosphingobium lubricantis,"['1', '535', '830']",279238,Novosphingobium aromaticivorans DSM 12444,3,4233314,2756420,4086,3997
798,Pseudomonas chengduensis,['1'],489632,Pseudomonas chengduensis,1,5579170,3486061,5194,5056
799,Ruegeria pomeroyi,"['974', '514']",246200,Ruegeria pomeroyi DSS-3,2,4601048,2947874,4473,4367
800,Erwinia pyrifoliae,"['535', '220', '220a']",79967,Erwinia pyrifoliae,2,4075681,2175402,3803,3523
801,Hippea maritima,"['830', 'J853', '854', '129', '11', '92', '186', '1', '84', '65', '693']",760142,Hippea maritima DSM 10411,1,1694430,634975,1795,1724
802,Corynebacterium mycetoides,"['53', '92', 'J75', 'J26']",38302,Corynebacterium mycetoides,1,2266470,1509126,2198,2070
803,Xanthomonas cucurbitae,['1a'],56453,Xanthomonas cucurbitae,2,4615492,3015043,4022,3719
804,Brevibacterium samyangense,"['J475', '92']",2697563,Brevibacterium atlanticum,1,4156794,2719264,3698,3605
805,Rhizobium tumorigenes,['98'],2041385,Rhizobium tumorigenes,6,5977727,3584471,5658,5424
806,Arsenophonus nasoniae,"['535a', '545', '535', '1', '215', '429']",638,Arsenophonus nasoniae,18,4987107,1932047,5430,4945
807,Clostridium cadaveris,"['J14', '110', 'J13', '104']",1529,Clostridium cadaveris,3,3625784,1149775,3524,3363
808,Agrobacterium pusense,"['98', 'J254']",648995,Agrobacterium pusense,3,5375961,3179512,5109,4977
809,Arthrobacter polaris,['92'],2813727,Arthrobacter polaris,1,4172959,2452620,3471,3258
810,Cytobacillus gottheilii,['1'],859144,Cytobacillus gottheilii,2,4584688,1796407,4528,4372
811,Corynebacterium hansenii,"['535a', 'J256', 'J26', '693']",394964,Corynebacterium hansenii,1,3098017,2172855,2735,2643
812,Thermococcus coalescens,"['760', 'J280']",2598455,Thermococcus aciditolerans,1,2165038,1190239,2413,2333
813,Streptomyces decoyicus,"['J42', '84', '65']",249567,Streptomyces decoyicus,1,8632952,6122738,7639,7262
814,Monoglobus pectinilyticus,"['J14', '104']",1981510,Monoglobus pectinilyticus,1,2759678,1031872,2325,2251
815,Acidipropionibacterium jensenii,"['J14', 'J84', '104', '91']",1749,Acidipropionibacterium jensenii,1,2999408,2060604,2697,2569
816,Sphingomonas koreensis,"['J75', '220']",93064,Sphingomonas koreensis,2,4819238,3178324,4745,4629
817,Bdellovibrio bacteriovorus,"['1012', '844', '257', '1012a']",959,Bdellovibrio bacteriovorus,1,3830427,1940156,3647,3604
818,Shewanella putrefaciens,"['605', 'J22', '7', '1461', '948', '514f', '129', '92', '1074', 'J521', 'J975', '514', '693']",24,Shewanella putrefaciens,2,4631110,2068250,4104,3898
819,Halobellus ramosii,['1519'],1379040,Halobellus ramosii,2,2853958,1829893,2907,2807
820,Anoxybacillus amylolyticus,['1046'],294699,Anoxybacillus amylolyticus,3,3158269,1377523,3345,3137
821,Oenococcus kitaharae,"['J491', '232']",1045004,Oenococcus kitaharae DSM 17330,2,1842238,786245,1874,1795
822,Streptomyces subrutilus,"['J42', '84', '65']",36818,Streptomyces subrutilus,1,7604974,5585684,6760,6535
823,Sulfuriferula nivalis,['1277a'],2675298,Sulfuriferula nivalis,3,3435893,1642730,3363,3280
824,Methanoculleus marisnigri,"['987', '92', '549', '84', '645', '553', '195c', '1', '215', '311c', '1240', '1a', '760', 'J43', 'J280', '535', 'J51', '65', '429', '220', '141b', '141', 'J26', '693']",368407,Methanoculleus marisnigri JR1,1,2478101,1537981,2516,2456
825,Thalassotalea piscium,"['J118', '514']",1230533,Thalassotalea piscium,1,3903981,1462116,3488,3376
826,Dermabacter jinjuensis,['92'],1667168,Dermabacter jinjuensis,1,2377736,1482415,2159,2079
827,Thermoanaerobacter italicus,"['J825', '710', '671']",580331,Thermoanaerobacter italicus Ab9,1,2451061,836915,2462,2328
828,Acetomicrobium mobile,"['104b', 'J1025']",891968,Acetomicrobium mobile DSM 13181,1,2160700,1036446,2095,2032
829,Microterricola viridarii,"['J475', '92']",412690,Microterricola viridarii,1,3837821,2672661,3560,3480
830,Halorhabdus tiamatea,"['J168', '372']",1033806,Halorhabdus tiamatea SARL4B,2,3146160,1973989,3184,3066
831,Enterococcus cecorum,"['J156', '693', '92']",44008,Enterococcus cecorum,1,2421598,885166,2453,2300
832,Nonomuraea maheshkhaliensis,"['J52', 'J43', '553', '65']",1122611,Nonomuraea coxensis DSM 45129,1,9073954,6548501,8551,8372
833,Erwinia tasmaniensis,"['1', '1a']",465817,Erwinia tasmaniensis Et1/99,6,4067864,2171859,3780,3579
834,Kitasatospora setae,"['252', 'J42', '84', '65', 'J58']",452652,Kitasatospora setae KM-6054,1,8783278,6516973,7715,7475
835,Nocardioides maradonensis,"['830', '65', 'J43']",2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047
836,Paracoccus liaowanqingii,['514'],2560053,Paracoccus liaowanqingii,11,4925228,3275232,4766,4508
837,Levilactobacillus koreensis,"['J111', '231']",637971,Levilactobacillus koreensis,1,3006812,1480166,2694,2602
838,Lysobacter cavernae,['535'],2591633,Lysobacter alkalisoli,1,3857091,2567288,3432,3280
839,Leucobacter alluvii,"['J26', '92']",2932247,Leucobacter allii,1,3562128,2559436,3333,3227
840,Corynebacterium testudinoris,"['J282', '693']",136857,Corynebacterium testudinoris,1,2721226,1718138,2613,2522
841,Syntrophobacter wolinii,"['298', '1a', '830', '212']",335543,Syntrophobacter fumaroxidans MPOB,1,4990251,2991592,4034,3960
842,Allochromatium vinosum,"['J84', '634b', '508', 'J12', '92', '1178', 'J559', 'J83', '170', '514c', '921', '58', '28', '1484', '514', 'J475', 'J75', '1736', '1081a', 'J156', '104', 'J690', '1127', '1047', '1095', '37', '1083', '395', 'J27', '195b', '804', '163', '212a', '429', '830c', '110', '372', '971', '1114', 'J537', '1076b', '141', 'J444', '1414', '1040', '801', 'J187', '35a', '11', '1081', 'J615', 'J226', '104b', 'J674', '10', 'J256', '54', '380a', '1243', '381a', '830', '671', '104c', '1190', 'J596', '503', '736', '166', '1', '130', '81', 'J349', '1412', '1037', '1a', '954', '119', 'J574', '948', 'J551', 'J543', 'J43', '1011', '402', '78', '1110', 'J14', '1145', '221', '465', 'J118', '685', '940', 'J168', '907', 'J524', '90', '429b', '545', '1494', '27', '464', '381', '1333', '1091', 'J182', 'J747', 'J346', '785', '1133', '98', '641', '1203a', '1087', '586', '1138', '413', '755', '803', '1411', '898', 'J456', '231', '503c', '65', '428', '1215', 'J633', '535b', '86', '1112', 'J739', 'J654', '693', '1309', 'J569', 'J22', '7', 'J30', '514f', '189', 'J641', '1223', '1460', '191', '1070', '585', 'J70', '1173', 'J553', '843', 'J52', '1570', '129', '898a', 'J402', '1144', 'J545', '188', '215', '222', '1064', '1245', '1244', '897', 'J7', 'J28', '535', 'J464', '1143', 'J546', 'J13', '220', 'J148', 'J482', 'J1040', 'J528', '1116', '514a', '593', '246', 'J26', '140']",572477,Allochromatium vinosum DSM 180,3,3669074,2355037,3342,3255
843,Corynebacterium flavescens,"['J22', '535']",28028,Corynebacterium flavescens,1,2758653,1652887,2541,2427
844,Psychrobacter urativorans,"['381', '514', '948']",45610,Psychrobacter urativorans,6,2931580,1233892,2518,2413
845,Calycomorphotria hydatis,['1560'],2528027,Calycomorphotria hydatis,1,5163473,2781025,4226,4146
846,Streptomyces fractus,"['252', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
847,Microbacterium lushaniae,['92'],2614639,Microbacterium lushaniae,1,3650161,2578992,3563,3455
848,Lentzea soli,"['65', 'J43']",1586287,Lentzea guizhouensis,1,9997872,6999071,9883,9517
849,Microbacterium soli,"['J28', '92']",936337,Microbacterium amylolyticum,2,2588344,1670013,2507,2381
850,Falsiporphyromonas endometrii,"['78', '693']",2488819,Corynebacterium endometrii,1,2477061,1509320,2222,2126
851,Psychrobacter arenosus,['514'],256326,Psychrobacter arenosus,1,3696886,1657249,2953,2862
852,Bifidobacterium actinocoloniiforme,"['58', 'J925']",1437605,Bifidobacterium actinocoloniiforme DSM 22766,1,1830060,1147591,1516,1438
853,Sedimenticola thiotaurini,['514'],1543721,Sedimenticola thiotaurini,2,3962284,2282876,3698,3622
854,Nocardioides zeicaulis,"['J346', '535', '830']",2712223,Nocardioides anomalus,1,5120341,3753287,5154,5047
855,Paludisphaera borealis,['1557'],1387353,Paludisphaera borealis,3,7651896,5070488,5887,5776
856,Brevibacillus parabrevis,"['J22', '90', '220', '545', 'J30', '129', '189', 'J31', '188', '1']",54914,Brevibacillus parabrevis,1,6088079,3178079,5635,5421
857,Capnocytophaga canimorsus,"['779', '693']",28188,Capnocytophaga canimorsus,1,2414275,876215,2135,2071
858,Bordetella holmesii,"['438', '693']",35814,Bordetella holmesii,1,3696575,2317390,3576,3230
859,Desulfovibrio desulfuricans,"['54b', 'J613', '90', '801', '92', '104b', '585', '830', '461a', 'J346', '63', '186', 'J689', '1203a', '1', '1a', 'J28', '163', '149', '411', '65', '830c', '110', '220', '465', '554', 'J26', '277', '693']",876,Desulfovibrio desulfuricans,2,3554892,2020851,3029,2941
860,Moorella thermoacetica,"['92', '479', '514', '316', '60', '9', 'J221', '1', '135c', '311c']",1525,Moorella thermoacetica,1,2623349,1464054,2659,2573
861,Legionella longbeachae,"['J14', '585', 'J83', 'J13', '104']",661367,Legionella longbeachae NSW150,2,4149158,1540598,3610,3483
862,Luteolibacter gellanilyticus,['830'],2824561,Luteolibacter ambystomatis,1,5321988,3309954,4183,4112
863,Spiroplasma cantharicola,['1076b'],362837,Spiroplasma cantharicola,1,1179577,295004,1056,1019
864,Corynebacterium sanguinis,"['693', '92']",2594913,Corynebacterium sanguinis,1,2362885,1541995,2291,2181
865,Bacillus velezensis,"['514', '1', '830']",492670,Bacillus velezensis,2,4014440,1862335,3940,3772
866,Lysobacter ximonensis,['830'],2591633,Lysobacter alkalisoli,1,3857091,2567288,3432,3280
867,Spirochaeta africana,['700'],889378,Spirochaeta africana DSM 8902,1,3285855,1898112,2859,2796
868,Neisseria animalis,"['215', '693']",492,Neisseria animalis,1,2236930,1159904,2089,1991
869,Saccharopolyspora halophila,"['J275', '252', '1504', 'J351', '514']",405948,Saccharopolyspora erythraea NRRL 2338,1,8212805,5843079,7311,7108
870,Metallosphaera prunae,"['88', '220', '104c', '1429', '514d', '1076b', 'J996', 'J465', 'J676', '514', '693']",47304,Metallosphaera prunae,1,2202576,1017563,2414,2341
871,Streptomyces thermocoprophilus,"['248', '252', 'J66', 'J45', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
872,Raoultella planticola,"['J22', 'J12', '514', '1518', '214', '553', '641', '1', 'J977', '426', '425', '462', '78', 'J14', '220', 'J118', '1525', '693']",575,Raoultella planticola,1,5646881,3145849,5383,5174
873,Gluconacetobacter diazotrophicus,['1429'],272568,Gluconacetobacter diazotrophicus PA1 5,2,3914947,2596511,3696,3557
874,Klebsiella oxytoca,"['J22', '220', 'J12', '92', '465', '535', '9', '1', '693']",571,Klebsiella oxytoca,3,5879076,3241345,5511,5326
875,Halorubrum sfaxense,['372'],337243,Halorubrum ezzemoulense,3,3726301,2475770,3748,3542
876,Streptomyces lunalinharesii,"['J42', '84', '65']",2865673,Streptomyces akebiae,2,10549378,7476568,9124,8717
877,Rhodothermus marinus,"['J41', '630', '514']",518766,Rhodothermus marinus DSM 4252,2,3386737,2177804,2974,2910
878,Nitratireductor kimnyeongensis,"['J75', '545']",430679,Nitratireductor kimnyeongensis,2,4052255,2423382,3871,3787
879,Adlercreutzia hattorii,['104'],2707299,Adlercreutzia hattorii,1,2908404,1832431,2488,2419
880,Crinalium magnum,['1593'],1173022,Crinalium epipsammum PCC 9333,9,5620407,2257303,5090,4873
881,Thermotoga caldifontis,['1539'],1408159,Thermotoga caldifontis AZM44c09,1,2014912,1034318,1998,1944
882,Mesorhizobium thiogangeticum,"['381', '1']",1082933,Mesorhizobium amorphae CCNWGS0123,5,7343952,4617122,6961,6671
883,Brevundimonas balnearis,['1578'],1312364,Brevundimonas albigilva,1,3336758,2300406,3366,3267
884,Syntrophothermus lipocalidus,['870'],643648,Syntrophothermus lipocalidus DSM 12680,1,2405559,1226580,2397,2322
885,Aerosticca soli,['830'],2010829,Aerosticca soli,1,2874969,1964409,2704,2608
886,Anaerobacillus isosaccharinicus,['31'],1532552,Anaerobacillus isosaccharinicus,1,5227144,1888437,5338,5116
887,Deinococcus aquaticus,['830'],328692,Deinococcus aquaticus,5,3874407,2666357,3658,3578
